MaxTemp,MinTemp,AvgDewPoint,AvgWindSpeed,AvgDayPrecip,Class
66.2,42.4,11.11382979,1.230496454,0.000001,1
66.6,40.1,21.79858657,1.071731449,0.000001,1
66,38.5,21.20921986,1.155673759,0.000001,1
66.2,38.1,20.99049296,0.898943662,0.000001,1
64.6,36.9,17.74823944,1.996126761,0.000001,1
65.8,34,17.59116608,1.597173145,0.000001,1
59.4,41.9,8.913829787,1.385106383,0.000001,1
59.9,28.7,9.008333333,1.90625,0.000001,1
66.9,40.2,24.48501742,3.477351916,0.000001,1
64.7,41.8,14.18222997,0.81184669,0.000001,1
66.3,42.8,15.52543554,1.181184669,0.000001,1
70.9,43.5,15.17889273,1.01384083,0.000001,1
67.9,45.9,11.62787456,1.066202091,0.000001,1
72.3,47.1,20.23449477,1.780487805,0.000001,1
71.4,47.9,22.37463768,4.673913043,0.000001,1
69.7,43.6,23.31944444,3.951388889,0.000001,1
70.4,42.9,18.88432056,2.68641115,0.000001,1
66,44.6,18.57750865,6.024221453,0.000001,1
63.8,48,7.027368421,4.126315789,0.000001,1
84.7,39.6,38.15418719,0.704926108,0.000001,1
82.2,45.1,46.89965157,0.636933798,0.000001,1
79.3,41.2,41.23286713,0.841958042,0.000001,1
80.6,34.3,35.84773519,0.518466899,0.000001,1
85.1,40.1,40.19233449,0.585714286,0.000001,1
90,38.7,34.79651568,0.553658537,0.000001,1
90.1,40.8,33.46202091,0.463066202,0.000001,1
90.1,40.5,34.73286713,0.491608392,0.000001,1
88,41.7,37.87874564,0.560278746,0.000001,1
86.9,43.2,38.35121951,0.791637631,0.000001,1
89.6,36.7,33.93763066,0.545296167,0.000001,1
83.3,50.4,34.21084337,0.430120482,0.000001,1
79.5,52.7,53.71083744,-19.41773399,0.000001,1
80.1,50,52.34947735,-6.808710801,0.000001,1
83.5,51.3,52.52334495,-37.99442509,0.000001,1
86.2,53.1,46.54947735,-128.5202091,0.000001,1
83.8,53.2,46.64181185,-20.58188153,0.000001,1
85.5,51.4,45.86097561,-69.13623693,0.000001,1
87.1,52.7,40.30696864,-197.9578397,0.000001,1
86.4,54.7,43.71045296,-285.389547,0.000001,1
84.7,54,46.00452962,-372.6836237,0.000001,1
85.5,59.5,49.52229965,-222.3073171,0.000001,1
83.8,54.5,49.34491228,-1999.30593,0.000001,1
81.1,61.5,48.4060241,-1083.938072,0.000001,1
84.9,48,50.92537313,1.656716418,0.000001,1
85.3,45.7,50.41489362,1.127659574,0.000001,1
90.5,46.5,49.96842105,1.421052632,0.000001,1
90.6,47.7,44.86315789,1.757894737,0.000001,1
89.6,47.2,42.48421053,1.389473684,0.000842105,1
91.5,44.2,45.09574468,1.319148936,0.000425532,1
91.9,45.9,38.16842105,1.4,0.000001,1
92.5,47.9,40.90526316,1.442105263,0.000001,1
89.4,48,43.34736842,1.389473684,0.000001,1
89.3,54.9,48.32631579,1.421052632,0.000001,1
89.1,50.1,49.07446809,1.787234043,0.000001,1
79.7,59.3,50.14814815,5.185185185,0.000001,1
94.5,67.8,49.53990148,2.239901478,0.000001,1
94.1,67.5,46.68181818,2.475174825,0.000001,1
95.7,64.6,42.17351916,2.6271777,0.000001,1
93.6,63.1,37.09686411,2.379442509,0.000001,1
92.7,60.6,32.36933798,2.554006969,0.000001,1
96.4,59.2,32.2097561,2.014285714,0.000001,1
96.8,62.6,36.38641115,2.755400697,0.000001,1
94.3,66,39.08327526,3.754703833,0.000001,1
93.6,64.4,38.31916376,3.077351916,0.000001,1
91.6,61.9,37.37944251,3.544599303,0.000001,1
88.2,57.9,33.14773519,3.36271777,0.000001,1
83.5,65.5,29.74939759,2.722891566,0.000001,1
93.2,56.2,47.490625,4.18125,0.000001,1
89.4,50.4,52.16222222,3.108888889,0.000001,1
87.4,47.6,51.49021739,2.390217391,0.000001,1
83.5,48.2,51.0923913,3.009782609,0.000001,1
78.8,50.2,50.17173913,3.665217391,0.000001,1
84.5,51.5,52.61847826,2.85,0.000001,1
88.9,50.6,54.38241758,2.702197802,0.000001,1
87.3,50.6,53.53846154,2.598901099,0.000001,1
96.5,49.4,46.99480519,2.722077922,0.000001,1
101.8,52.7,47.67065217,2.819565217,0.000001,1
104.3,66.3,48.4989011,3.769230769,0.000001,1
102.5,69.7,58.67407407,1.788888889,0.000001,1
96.1,50.1,54.65614035,2.598245614,0.000001,1
94.8,49.2,52.49673913,2.791304348,0.000001,1
93.2,55.6,53.50978261,2.894565217,0.000001,1
92.7,58.3,57.24782609,3.201086957,0.000001,1
96.1,54.8,56.24891304,2.469565217,0.000001,1
97,52.8,57.44505495,2.478021978,0.000001,1
104.7,51.5,55.41978022,1.998901099,0.000001,1
103.3,51,53.10869565,2.02173913,0.000001,1
99,50.3,54.50869565,2.126086957,0.000001,1
97.6,48.2,53.85617978,2.198876404,0.000001,1
100.3,48.6,53.47356322,1.970114943,0.000001,1
99.4,60.8,50.19090909,2.463636364,0.000001,1
98.9,47.3,47.8359375,2.2421875,0.000001,1
94.9,57.7,45.95543478,3.285869565,0.000001,1
92.7,50.7,47.03695652,2.797826087,0.000001,1
98.6,51.7,41.97934783,3.631521739,0.000001,1
96.3,52.5,45.07717391,1.991304348,0.000001,1
92.3,51.6,52.76533333,1.262666667,0.000001,1
100.2,53.3,54.67435897,1.966666667,0.000001,1
