MaxTemp,MinTemp,AvgDewPoint,AvgWindSpeed,AvgDayPrecip,Class
55.6,45.5,42.96600985,0.474384236,0.009768473,0
60.3,41.5,43.93937282,0.412195122,0.000327526,0
68.4,29.7,25.45888502,0.856759582,0.000001,0
56.8,34.7,12.34457831,0.518915663,0.001204819,0
60.3,38.1,41.62413793,0.115270936,0.009655172,0
61.9,46.8,45.20174216,0.130662021,0.000487805,0
64.2,47.7,47.63867596,1.525783972,0.002160279,0
78.6,38.6,45.47351916,0.341393728,0.000243902,0
82.2,41.9,47.32787456,0.223728223,0.000487805,0
78.6,38.6,45.47351916,0.341393728,0.000243902,0
82.2,41.9,47.32787456,0.223728223,0.000487805,0
96.1,67.5,49.04778325,3.016256158,0.000001,0
95.2,67.1,46.35017422,4.059581882,0.000001,0
95,64.6,43.74773519,3.068641115,0.000001,0
60.7,36.4,37.63076923,0.430769231,0.003076923,0
60.9,38.6,42.46808511,0.276595745,0.002234043,0
95.5,61.9,28.41184669,2.733101045,0.000001,0
94.1,67.5,34.71289199,2.103135889,0.000001,0
95,64.2,37.72229965,2.157142857,0.000001,0
93.9,63.7,36.73484321,3.664111498,0.000001,0
91.2,61.2,34.69930314,3.792334495,0.000001,0
87.8,54.5,32.02055749,3.16445993,0.000001,0
84.6,61.7,28.13855422,2.338554217,0.000001,0
87.6,53.1,28.85123153,2.242857143,0.000001,0
86.9,55.8,26.73867596,2.216376307,0.000001,0
89.1,53.1,28.18710801,2.317421603,0.000001,0
88.9,61.7,30.12264808,2.213937282,0.000001,0
87.4,59.2,32.26585366,3.155400697,0.000001,0
86.4,56.1,28.14065041,3.143089431,0.000001,0
82.4,53.8,32.62614679,2.230733945,0.000001,0
82,50.2,25.51637631,2.31533101,0.000001,0
81,52,27.12404181,2.829268293,0.000001,0
79.2,45.9,30.88954704,2.917073171,0.000591133,0
70.3,39.6,29.01714286,1.806428571,0.000001,0
64,48.9,28.88192771,1.581927711,0.000418118,0
66.4,55.2,55.48078818,0.652216749,0.000418118,0
61.5,53.8,54.25749129,0.803484321,0.000418118,0
68.7,54.7,55.96794425,0.385017422,0.000418118,0
67.8,56.8,57.29721254,0.368292683,0.000001,0
68,55.8,56.41602787,0.331010453,0.000001,0
70,51.1,53.87979094,0.570731707,0.000001,0
70.9,48,53.25958188,0.55087108,0.000001,0
70.3,49.6,55.13240418,0.552264808,0.000001,0
67.5,55.4,56.74355401,0.648432056,0.000001,0
71.8,57.9,57.46062718,0.552961672,0.000607143,0
67.5,58.8,56.86864111,0.353658537,0.000001,0
63.3,57.7,56.79518072,0.363855422,0.000001,0
55.8,45,23.56716418,0,0.011044776,0
51.4,41,23.39622642,0,0.000754717,0
59,42.6,49.04411765,0.324019608,0.002843137,0
97.3,58,54.02547038,1.651567944,0.000001,0
93.8,59.5,49.07174216,2.020905923,0.000001,0
92,55.3,51.79139373,1.362369338,0.000001,0
91.3,65.6,54.2353012,0.542168675,0.000001,0
77.4,66.7,49.64079602,1.60199005,0.000001,0
84.2,63.1,46.3728223,1.724738676,0.000001,0
79.9,59.4,43.9543554,1.825783972,0.000001,0
82.2,55,48.7979021,1.660839161,0.000001,0
88.7,55.9,46.10696864,1.777003484,0.000001,0
86,54.3,49.33867596,1.745644599,0.008432056,0
77.4,56.1,44.2451049,1.643356643,0.000001,0
84.2,58.1,44.09686411,1.87804878,0.000001,0
79.9,53.6,44.5271777,2.024390244,0.000001,0
82.2,54.9,48.25316901,2.038732394,0.000001,0
88.7,57,55.05853659,1.940766551,0.000001,0
86,66.2,53.96024096,1.939759036,0.000001,0
87.4,64.9,57.23054187,21.72364532,0.000001,0
90.1,63.7,59.14634146,20.82055749,0.000001,0
93.6,64.4,56.86167247,22.36271777,0.000001,0
91.9,63.1,56.52578397,22.20278746,0.000001,0
87.6,61.3,56.98013937,18.97839721,0.000001,0
88.7,59.7,56.75853659,18.22857143,0.000001,0
86.9,60.3,56.7630662,17.52229965,0.000001,0
89.2,61.3,55.92369338,16.29965157,0.000001,0
88.3,61.2,56.54285714,17.77421603,0.000001,0
87.3,60.8,55.25087108,16.11843206,0.000001,0
88,61.2,53.35818815,16.62630662,0.000001,0
90.7,60.4,53.97944251,12.14864111,0.000001,0
91.9,69.8,50.85365854,15.09766551,0.000001,0
88.2,62.8,52.27630662,15.10731707,0.000001,0
91.6,64.4,50.50662021,16.15494774,0.000001,0
90.1,62.6,52.85818815,15.80020906,0.000001,0
88.2,59.5,57.02404181,11.83041812,0.000001,0
97,61,57.99651568,9.730174216,0.000001,0
96.3,61.7,55.81811847,13.77926829,0.000001,0
91.8,68.2,55.34947735,13.77233449,0.000001,0
92.1,63.7,54.28083624,8.385783972,0.000001,0
91.4,61,57.01358885,17.71522648,0.000001,0
82.4,63,58.36987952,16.50710843,0.000001,0
88.4,74.7,45.53731343,0.313432836,0.000001,0
85.5,76.8,40.14893617,0.308510638,0.000001,0
83,72.8,45.37634409,0.23655914,0.000001,0
85.7,69.8,43.70526316,0.315789474,0.000001,0
86.4,72.7,42.08421053,0.347368421,0.000001,0
95.3,84.1,33.30851064,2.340425532,0.000001,0
94.1,74.6,33.41052632,1.831578947,0.000001,0
96.3,77.7,26.74736842,3.305263158,0.000001,0
93,80.1,34.07368421,2.263157895,0.000001,0
92.4,77.1,33.70212766,2.287234043,0.000001,0
91.5,73,42.34736842,0.410526316,0.000001,0
89.7,78.8,37.7037037,0.37037037,0.000001,0
75.4,59.2,42.3880597,0.955223881,0.000001,0
73.6,62.7,44.31578947,0.452631579,0.000001,0
70.4,55.4,43.30120482,0.120481928,0.000001,0
82.5,77.1,37.8125,0.875,0.000001,0
77.1,62.7,41.22340426,0.404255319,0.000001,0
80.8,66.8,36.32631579,0.4,0.000001,0
84,69.4,37.96842105,0.263157895,0.000001,0
80.6,67.7,37.89361702,0.29787234,0.000001,0
78.8,61.8,31.88421053,0.210526316,0.000001,0
84.3,63.8,39.70526316,0.694736842,0.000001,0
78.5,69.6,41.53846154,0.884615385,0.000001,0
82.8,53.3,57.07462687,0.865671642,0.000001,0
81.2,55,57.42105263,0.8,0.000001,0
77.7,55.1,56.67368421,0.831578947,0.000001,0
77.4,54.9,55.98947368,0.873684211,0.000001,0
84.2,50.8,54.79787234,0.787234043,0.000001,0
79.9,47.8,55.31578947,0.684210526,0.000001,0
82.2,56.5,56.41052632,0.863157895,0.000001,0
88.7,47.1,53.97894737,0.621052632,0.000001,0
